ds,y
2020-01-02,12688.636363636364
2020-01-03,12643.181818181818
2020-01-06,12643.181818181818
2020-01-07,12643.181818181818
2020-01-08,12620.454545454546
2020-01-09,12643.181818181818
2020-01-10,12665.90909090909
2020-01-13,12665.90909090909
2020-01-14,12665.90909090909
2020-01-15,12665.90909090909
2020-01-16,12665.90909090909
2020-01-17,12665.90909090909
2020-01-20,12665.90909090909
2020-01-21,12665.90909090909
2020-01-22,12665.90909090909
2020-01-23,12620.454545454546
2020-01-24,12620.454545454546
2020-01-27,12665.90909090909
2020-01-28,12665.90909090909
2020-01-29,12665.90909090909
2020-01-30,12665.90909090909
2020-01-31,12665.90909090909
2020-02-03,12665.90909090909
2020-02-04,12631.818181818182
2020-02-05,12677.272727272728
2020-02-06,12665.90909090909
2020-02-07,12665.90909090909
2020-02-10,12665.90909090909
2020-02-11,12665.90909090909
2020-02-12,12665.90909090909
2020-02-13,12620.454545454546
2020-02-14,12665.90909090909
2020-02-17,12665.90909090909
2020-02-18,12652.272727272728
2020-02-19,12606.818181818182
2020-02-20,12652.272727272728
2020-02-21,12652.272727272728
2020-02-24,12665.90909090909
2020-02-25,12652.272727272728
2020-02-26,12652.272727272728
2020-02-27,12652.272727272728
2020-02-28,12652.272727272728
2020-03-02,12652.272727272728
2020-03-03,12652.272727272728
2020-03-04,12652.272727272728
2020-03-05,12652.272727272728
2020-03-06,12652.272727272728
2020-03-09,12640.90909090909
2020-03-10,12652.272727272728
2020-03-11,12652.272727272728
2020-03-12,12652.272727272728
2020-03-13,12788.095238095239
2020-03-16,12652.272727272728
2020-03-17,12652.272727272728
2020-03-18,12652.272727272728
2020-03-19,12652.272727272728
2020-03-20,12652.272727272728
2020-03-23,12640.90909090909
2020-03-24,12652.272727272728
2020-03-26,12652.272727272728
2020-03-27,12652.272727272728
2020-03-30,12652.272727272728
2020-03-31,12652.272727272728
2020-04-01,12652.272727272728
2020-04-02,12652.272727272728
2020-04-03,12652.272727272728
2020-04-06,12652.272727272728
2020-04-07,12652.272727272728
2020-04-08,12652.272727272728
2020-04-09,12652.272727272728
2020-04-13,12652.272727272728
